change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
then|adv.当时,在那时,那么,因而,然后,于是
will|n.意志,决心,意向,遗嘱v.aux.将,愿意,必须
auto|n.<美口>汽车
pi|n.1.派（π）2.圆周率（π）
upon|prep.在...之上
different|adj.不同的
home|n.家,住宅,家乡,本国,产地,避难所adj.家庭的,国内的,有效的adv.在家,回家,深入地,在本国
hardware|n.五金器具,(电脑的)硬件,(电子仪器的)部件
interval|n.间隔,距离,幕间休息n.时间间隔
space|n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开
across|adv.横过,交叉地,在对面prep.越过,交叉,在...的那边,在...对面那边
normally|adv.正常地,通常地
detailed|adj.详细的,逐条的
mb|null
rather|adv.宁愿,宁可,更正确,更合适,有点,相当
subexpression|null
ksh|null
note|n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记
null|null
similar|adj.相似的,类似的
restart|null
clock|n.时钟
true|null
product|n.产品,产物,乘积
idle|adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转
per|prep.每,每一,由,经
additional|adj.另外的,附加的,额外的
item|n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条
within|n.内部,里头adv.在内部,在内心里prep.在...之内,不越出adj.里面的,内部的
filesystem|null
cause|n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成
single|adj.单一的,单身的,单纯的,孤独的,专一的,个别的n.一个,单打,单精度型vt.选出vi.[棒]作一垒打
second|n.秒,片刻,第二者,第二人,助手,次货,二等品adj.另一个,又一个num.第二vt.赞成,支持
count|v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵
disk|n.(disc)磁盘,磁碟片,圆板,圆盘,圆盘状物
displayable|null
type|n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型
where|adv.什么地方,在哪里,...的(地方)
netmask|网络掩码, Sub Netmask: 255.255.255.128
uppercase|null
level|n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平
more|adj.更多的n.更多adv.更,更多,更加,超过,多,大大高于num.更多
request|vt.请求,要求n.请求,要求,邀请
when|conj.就在那个时候,在...的时候adv.什么时候,...的时候pron.什么时侯,那时
cycle|n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转
consist|vi.由...组成,在于,一致
enter|vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车
inherit|vt.继承,遗传而得
machine|n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工
statement|n.声明,陈述,综述
console|vt.安慰,藉慰n.[计]控制台
manufacture|vt.制造,加工n.制造,制造业,产品
operate|v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动
controller|n.管理员,控制器
this|adj.这,这个,今,本pron.这,这个
panel|n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板
locale|n.现场,场所
from|prep.从,今后,来自,由于
network|n.网络,网状物,广播网
was|vbl.be的过去式
while|n.一会儿,时间conj.当...的时候,虽然vt.消磨prep.<古><方>直到
real|adj.真的,真实的,不动产的
ethernet|null
if|conj.(表条件)如果,(表假设)要是,是否,即使n.条件,设想
path|n.小路,小径,路线,轨道,通道
read|v.读,阅读,理解,学习adj.有学问的n.读取vbl.read的过去式和过去分词
receive|vt.收到,接到,接收,遭到,受到,接待,接见
between|prep.在...之间,连接...,由...协力合作
pattern-matching|null
those|adj.pron.那些
is|prep.是[域]Iceland,冰岛abbr.[军]InternalSecurity,治安
it|pron.它[域]Italy,意大利
standard|n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的
your|pron.你的,你们的
into|prep.到...里,进入到...之内,成为...状况,深入...之中
modify|vt.更改,修改v.修改
lsdev|null
problem|n.问题,难题
list|n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上
interface|n.[地质]分界面,接触面,[物、化]界面
adapter|n.适配器,改编者
in|prep.在...之内(上),在...期间,从事于,符合,穿着adv.进入,朝里,在家,已到达(来临)adj.在里面的,执政的n.执政者,入口[域]India,印度
know|v.知道,了解,认识,熟悉,认出,分辨,确信
section|n.部分,断片,部件,节,项,区,地域,截面
database|n.[计]数据库,资料库
ip|null
pass|n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌
implementation|n.执行
also|adv.也,同样
hmc|null
found|v.建立,创立,创办,使有根据,铸造,熔制
xj|null
guide|n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导
subcommands|null
etc|adv.<拉>及其他,等等
manage|vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成
dot|n.点,圆点,园点vt.在...上打点
happen|vi.发生,碰巧,偶然v.发生,恰巧,偶然发现
option|n.选项,选择权,[经]买卖的特权
pps|null
available|adj.可用到的,可利用的,有用的,有空的,接受探访的
goodnight|null
leading|adj.领导的,第一位的,最主要的
hot|adj.热的,热情的,辣的,激动的,紧迫的,节奏强的adv.热,热切的,紧迫地
own|adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认
assumed|adj.假定的,假装的,装的
press|n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压
alterable|adj.可变的,可改的
give|n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步
sys|null
data|n.datum的复数,[计]资料,数据
use|vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值
date|n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时[计]显示或设置系统日期
run|n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的vbl.run的过去式和过去分词
running|n.奔跑,赛跑,转动,运转adj.奔跑的,赛跑的,流动的,不断的,连续的,连接的
written|vbl.write的过去分词
whenever|conj.无论何时,随时n.只要
vd|null
usr|null
topas|null
lsattr|null
ptools|null
previous|adj.在前的,早先的adv.在...以前返回上一级菜单
rdhw|null
allocate|vt.分派,分配
us|pron.<用作宾语>我们[域]UnitedStates,美国
fault|n.过错,缺点,故障,毛病vt.挑剔vi.弄错
libdir|null
cannot|null
up|adv.向上,到(较高的地方,北方),起来,起床prep.向上,在上,沿adj.向上的,上行的
field|n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的扫描场
replace|vt.取代,替换,代替,把...放回原处
powerpc|null
either|adj.任一的,(两方中的)每一方的pron.任一,随便任一个conj.或者,也
tz|null
overview|n.一般观察,总的看法
string|n.线,细绳,一串,一行v.排成一列
tty|null
part|n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的
relate|vt.叙述,讲,使联系,发生关系
to|prep.向,往,给...,于...,直到...为止,在...之前,比,对,[表示程度、范围]到,达[域]Tonga,汤加
percent|n.百分比,百分数
com|null
both|adj.两者,双方的pron.双方,两者
busy|adj.忙碌的,热闹的,临时占用的
good|n.好,好事,慷慨的行为,好处,利益adj.优良的,上等的,虔诚的,愉快的,慈善的,好心的,有益的
must|aux.必须,应当,很可能,一定,必须,肯定,可以
after|adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的
login|null
milliseconds|null
follow|vt.跟随,追随,沿...而行,理解,遵循,从事,追求,注视vi.跟随,接着n.跟随,追随
mst|null
index|n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引
so|conj.因而,所以,那么,这样看来adv.[表示程度]如此,那么,非常,很,[表示方式]这样,那样,如此,因此[域]Somalia,索马里
select|vt.选择,挑选adj.精选的
white|n.白色,蛋白,白种人adj.白(色)的,白种人的
cpu|null
size|n.大小,尺寸,(衣服等)尺码vt.依大小排列
that|adj.那,那个pron.那,那个conj.引导从句
syntax|n.[语]语法,有秩序的排列,句子构造,句法
failure|n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格
str|null
lpar|null
sa|null
than|conj.比prep.与...相比较
rs|null
require|vt.需要,要求,命令
exec|null
case|n.事,病例,案例,情形,场合,讼案,容器,(语法)格
valid|adj.[律]有效的,有根据的,正当的,正确的
model|n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟
mouse|n.鼠,耗子v.搜寻
sub|null
can|vt.装进罐中,把食品装罐n.罐头,铁罐conj.能,可以
cap|n.帽子,军帽,(瓶)帽,(笔)帽vt.戴帽子,盖在...顶上
interpret|v.解释,说明,口译,通译,认为是...的意思
sum|n.总数,和,金额,算术题
strings|线
consume|vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭
backslash|null
complete|adj.全部的,完全的,完成的vt.完成,使完善
isa|null
multiple|adj.多样的,多重的n.倍数,若干v.成倍增加
top|n.顶部,顶端,极点,顶蓬,陀螺,(常用复数)根菜植物的叶子,上部,盖子adj.最高的,顶上的,头等的vt.盖,戴,高耸,达到顶端,截去(植物)顶端,高过,超越vi.结束,完成,胜过
separate|adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别
percentage|n.百分数,百分率,百分比
thus|adv.因而,从而,这样,如此
you|pron.你,你们
reference|n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)
unit|n.个体,(计量)单位,(军队的)部队单位,[数学]最小的整数
effect|n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)
fru|null
usage|n.使用,用法
actual|adj.实际的,真实的,现行的,目前的
pv|null
server|null
core|n.果核,中心,核心
csh|null
serial|adj.连续的
ps|null
for|prep.(表示目的)为了,因为,至于,对于,适合于conj.因为
tab|n.制表,标号,TAB键,标签,制表符,小报,帐单,短小突出部vt.在...饰以小垂片,认出vi.<俚>行走
mhz|null
zero|n.零点,零度num.零
info|null
beyond|prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处
kbd|null
avoid|vt.避免,消除
open|n.公开,户外,空旷adj.开着的,敞开的,(车等)无篷的,开阔的,营业着的,公开的,坦率的,未决定的vt.打开,公开,开放vi.展开,开始,展现
are|prep.是,在,公亩
customize|v.[计]定制,用户化
fail|vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者
page|n.页,记录,事件,专栏vt.标明...的页数,翻...的书页vi.翻书页
drive|n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器
false|null
processor|null
platform|n.(车站)月台,讲台,讲坛平台
information|n.通知,报告,消息,情报,知识,见闻,资料,起诉信息
compare|v.比较,相比,比喻n.比较
again|adv.又,再次,此外,再一次
like|n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望prep.象,如同adv.可能
without|prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外
integer-valued|null
not|adv.不
ieee|null
nor|conj.也不
logical|adj.合乎逻辑的,合理的
unallocated|null
now|adv.现在,目前,此刻,立刻,马上n.现在,如今conj.既然
abcdef|null
language|n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自]（机器）代码
bsh|null
position|n.位置,职位,立场,形势,阵地vt.安置,决定...的位置
port|n.港口,舱门,左舷,避风港,枪眼vt.左转舵,持(枪)vi.转舵左n.端口
remove|vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级
pair|n.一对,一双
dev|null
line|n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队
mode|n.方式,模式,样式,时尚n.DOS命令：完成有关在处理器和屏幕,打印机和键盘之间传递数据的各种功能
version|n.译文,译本,翻译
kilobyte|n.〈计〉千字节，1024字节
prtconf|null
length|n.长度,长,时间的长短,[语]音长
delete|vt.删除
perfagent|null
proc|null
end|n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止
blank|adj.空白的,空着的,失色的,没有表情的n.空白,<美>表格
sbin|null
cache|n.隐藏处所,隐藏的粮食或物资,贮藏物vt.隐藏,窖藏n.高速缓冲存储器
-lkbd|null
printenv|null
env|null
kernel|n.(硬壳果)仁,(去壳的)麦粒,谷粒,(事物、问题的)核心,要点,精髓,内核
ent|null
cd-rom|null
directory|n.姓名地址录,目录
successfully|adv.顺利地,成功地
wlm|null
but|prep.除...以外conj.而是,但是adv.几乎,仅仅
gxt|null
bus|n.公共汽车
wish|n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺
enable|vt.使能够,授予权利或方法
show|n.表示,展览,炫耀,外观,假装v.出示,指示,引导,说明,显示,展出,放映
remote|adj.遥远的,偏僻的,细微的
used|adj.习惯的,旧的,用旧了的
sent|vbl.send的过去式和过去分词
three|num.三
fast-|adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒
directly|adv.直接地,立即
work|n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制
except|vt.除,把...除外,反对,不计vi.反对prep.除了...之外,若不是,除非conj.只是,要不是
succeed|vi.(～in)成功v.继...之后,继任,继承,取得成功
status|n.身份,地位,情形,状况
mark|n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号
format|n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)
default|n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认
environment|n.环境,外界
manufacturer|n.制造业者,厂商
output|n.产量,输出,输出量
management|n.经营,管理,处理,操纵,驾驶,手段
call|n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话
other|adj.其他的,另外的,从前的pron.其他的,他人,另外一个adv.另外地,不同地
allow|vt.允许,承认
specific|n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的
one|pron.一个人,任何人,一方num.一,一个adj.一方的,某一,同样的
state|n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定
currently|adv.普遍地,通常地,现在,当前
expr|null
object|n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对
yy|null
because|conj.adv.因为
share|n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享[计]使DOS支持文件共享和锁定
order|n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制
pool|n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营
full|n.全部,完整adj.充满的,完全的,丰富的,完美的,详尽的,丰满的adv.完全地,整整,十分vt.把衣服缝得宽大
quote|vt.引用,引证,提供,提出,报(价)
rule|n.规则,惯例,统治,章程,破折号,准则,标准,控制vt.规定,统治,支配,裁决vi.统治,管辖,裁定n.规则,水线
graphics|n.(作单数用)制图法,制图学,图表算法,图形
exist|vi.存在,生存,生活,继续存在
find|vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现[计]在文件中查找指定的字符串
chrp|null
with|prep.有,以,用,同...,由于,和...一致,赞成,关于,就
beginning|n.开始
error|n.错误,过失,误差
definition|n.定义,解说,精确度,(轮廓影像等的)清晰度
vpd|null
the|art.那
processors|null
mbps|null
begin|v.开始,首先
multimedia|n.多媒体,多媒体的采用
lib|null
address|n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于
term|n.学期,期限,期间,条款,条件,术语
context|n.上下文,文章的前后关系
lady|n.女士,夫人,小姐
special|n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的
yl|null
group|n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群
user|n.使用者,使用物,[律]权利的实际享有
first|adv.首先,最初,第一(列举条目等用),优先adj.第一的num.第一(个)n.开始,第一,(比赛)冠军
average|n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出
occur|vi.发生,出现
